cbsa_code,cbsa_title,cbsa_short,tot_units,tot_pop,units_pcap,h_1990,h_2000,h_2010,h_2020,h_change
37860,"Pensacola-Ferry Pass-Brent, FL",Pensacola,119032,16062691,0.00741046441097572,0.5678998705888102,0.46803611938528816,0.4228378303643204,0.3700077161597649,-0.19789215442904529
37900,"Peoria, IL",Peoria,36874,14804737,0.00249068929762143,0.558156692120839,0.5623769532147405,0.5570782653144113,0.5422674565352684,-0.01588923558557053
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,670527,227419827,0.00294841047434267,0.7112362039162294,0.6439104801530167,0.5992739637254957,0.5483375160343291,-0.16289868788190032
38060,"Phoenix-Mesa-Scottsdale, AZ",Phoenix,1266929,128632120,0.00984924294180955,0.3998250214783578,0.34057017752541385,0.31709169743513976,0.30941941154378233,-0.09040560993457548
38300,"Pittsburgh, PA",Pittsburgh,218861,97613616,0.00224211548520034,0.6276393765579623,0.593982490698342,0.5466445920608581,0.5060834856784708,-0.12155589087949148
38860,"Portland-South Portland, ME",Portland,107111,19007549,0.00563518210580438,0.29450659675267443,0.31959412164330453,0.3938471007096335,0.4127274822556233,0.11822088550294883
38900,"Portland-Vancouver-Hillsboro, OR-WA",Portland,490821,75633598,0.006489457238303,0.4918843331449188,0.39434863108189017,0.32421740137434957,0.28655873090326117,-0.20532560224165763
38940,"Port St. Lucie, FL",Port St. Lucie,158514,13085240,0.01211395434856372,0.7365487844053531,0.621183677675077,0.45203288371184086,0.4072539074651253,-0.3292948769402278
39300,"Providence-Warwick, RI-MA",Providence,167903,62106215,0.00270348144706612,0.46668032494285616,0.4287001110563478,0.3954803118590793,0.3517608123588274,-0.11491951258402876
39580,"Raleigh, NC",Raleigh,420437,33219767,0.01265622964784792,0.4704279993606339,0.411950977571087,0.37474129157860586,0.30513365960012206,-0.16529433976051183
39740,"Reading, PA",Reading,49397,14836930,0.00332932756304707,0.4582398422285569,0.4334201443713443,0.4096710388524432,0.3792220978706999,-0.07901774435785702
39820,"Redding, CA",Redding,34052,6371939,0.00534405618132879,0.33165432735747213,0.2730594081139679,0.2736290844962901,0.278407786872152,-0.05324654048532012
39900,"Reno, NV",Reno,119645,13543751,0.00883396335328374,0.26733885035485366,0.2534976229036407,0.24451992089704436,0.2486549529340348,-0.01868389742081885
40060,"Richmond, VA",Richmond,276204,42248777,0.00653756202220954,0.5393149911606407,0.49342967607543103,0.4629535523232189,0.4028738911369619,-0.13644110002367882
40140,"Riverside-San Bernardino-Ontario, CA",Riverside,865492,130554819,0.00662933782628123,0.3234628638505508,0.33445313415527367,0.329942460817021,0.3154616034966026,-0.00800126035394815
